Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,
2016-11-23,19083.1796875,19083.759765625,19000.380859375,19015.51953125,77880000
2016-11-25,19152.140625,19152.140625,19093.720703125,19093.720703125,45890000
2016-11-28,19097.900390625,19138.720703125,19072.25,19122.140625,88460000
2016-11-29,19121.599609375,19144.400390625,19062.220703125,19064.0703125,81510000
2016-11-30,19123.580078125,19225.2890625,19123.380859375,19135.640625,164570000
2016-12-01,19191.9296875,19214.30078125,19138.7890625,19149.19921875,108800000
2016-12-02,19170.419921875,19196.140625,19141.1796875,19161.25,84920000
2016-12-05,19216.240234375,19274.849609375,19186.73046875,19244.349609375,317800000
2016-12-06,19251.779296875,19255.890625,19184.740234375,19219.91015625,284960000
2016-12-07,19549.619140625,19558.419921875,19229.830078125,19241.990234375,385200000
2016-12-08,19614.810546875,19664.970703125,19527.830078125,19559.939453125,324570000
2016-12-09,19756.849609375,19757.740234375,19623.189453125,19631.349609375,334470000
2016-12-12,19796.4296875,19824.58984375,19747.740234375,19770.19921875,333660000
2016-12-13,19911.2109375,19953.75,19846.44921875,19852.2109375,388420000
2016-12-14,19792.529296875,19966.4296875,19748.669921875,19876.130859375,408430000
2016-12-15,19852.240234375,19951.2890625,19811.5,19811.5,357350000
2016-12-16,19843.41015625,19923.169921875,19821.0,19909.009765625,573470000
2016-12-19,19883.060546875,19917.779296875,19832.94921875,19836.66015625,302310000
2016-12-20,19974.619140625,19987.630859375,19920.419921875,19920.58984375,284080000
2016-12-21,19941.9609375,19986.560546875,19941.9609375,19968.970703125,256640000
2016-12-22,19918.880859375,19933.830078125,19882.189453125,19922.6796875,258290000
2016-12-23,19933.810546875,19934.150390625,19899.060546875,19908.609375,158260000
2016-12-27,19945.0390625,19980.240234375,19939.80078125,19943.4609375,158540000
2016-12-28,19833.6796875,19981.109375,19827.310546875,19964.310546875,188350000
2016-12-29,19819.779296875,19878.439453125,19788.939453125,19835.4609375,172040000
2016-12-30,19762.599609375,19852.55078125,19718.669921875,19833.169921875,271910000
2017-01-03,19881.759765625,19938.529296875,19775.9296875,19872.859375,339180000
2017-01-04,19942.16015625,19956.140625,19878.830078125,19890.939453125,280010000
2017-01-05,19899.2890625,19948.599609375,19811.119140625,19924.560546875,269920000
2017-01-06,19963.80078125,19999.630859375,19834.080078125,19906.9609375,277700000
2017-01-09,19887.380859375,19943.779296875,19887.380859375,19931.41015625,287510000
2017-01-10,19855.529296875,19957.119140625,19836.029296875,19876.349609375,299410000
2017-01-11,19954.279296875,19973.419921875,19833.16015625,19887.380859375,336150000
2017-01-12,19891.0,19929.2890625,19770.470703125,19926.2109375,306290000
2017-01-13,19885.73046875,19952.029296875,19849.380859375,19912.5390625,263780000
2017-01-17,19826.76953125,19882.990234375,19775.349609375,19848.8203125,341900000
2017-01-18,19804.720703125,19828.19921875,19739.0,19822.73046875,279760000
2017-01-19,19732.400390625,19824.140625,19677.939453125,19813.55078125,301750000
2017-01-20,19827.25,19843.939453125,19759.140625,19795.060546875,435260000
2017-01-23,19799.849609375,19833.98046875,19732.359375,19794.7890625,326690000
2017-01-24,19912.7109375,19949.240234375,19786.7109375,19794.6796875,374460000
2017-01-25,20068.509765625,20082.0,19994.48046875,19994.48046875,372240000
2017-01-26,20100.91015625,20125.580078125,20067.529296875,20076.25,356730000
2017-01-27,20093.779296875,20115.970703125,20072.640625,20103.359375,343130000
2017-01-30,19971.130859375,20028.619140625,19870.390625,20028.619140625,317280000
2017-01-31,19864.08984375,19918.169921875,19784.76953125,19913.16015625,373750000
2017-02-01,19890.939453125,19967.73046875,19845.990234375,19923.810546875,426670000
2017-02-02,19884.91015625,19922.75,19831.08984375,19858.33984375,347220000
2017-02-03,20071.4609375,20081.48046875,19964.2109375,19964.2109375,344220000
2017-02-06,20052.419921875,20094.94921875,20002.810546875,20025.609375,281720000
2017-02-07,20090.2890625,20155.349609375,20068.6796875,20107.619140625,279670000
2017-02-08,20054.33984375,20068.279296875,20015.330078125,20049.2890625,280410000
2017-02-09,20172.400390625,20206.359375,20061.73046875,20061.73046875,325310000
2017-02-10,20269.369140625,20298.2109375,20204.759765625,20211.23046875,312230000
2017-02-13,20412.16015625,20441.48046875,20322.94921875,20338.5390625,314620000
2017-02-14,20504.41015625,20504.41015625,20374.01953125,20374.220703125,356580000
2017-02-15,20611.859375,20620.44921875,20496.029296875,20504.26953125,384380000
2017-02-16,20619.76953125,20639.869140625,20556.830078125,20627.310546875,354120000
2017-02-17,20624.05078125,20624.05078125,20532.609375,20564.130859375,340620000
2017-02-21,20743.0,20757.640625,20663.369140625,20663.4296875,336880000
2017-02-22,20775.599609375,20781.58984375,20692.390625,20715.41015625,310530000
2017-02-23,20810.3203125,20840.69921875,20746.41015625,20817.2109375,302110000
2017-02-24,20821.759765625,20821.759765625,20733.94921875,20751.91015625,292540000
2017-02-27,20837.439453125,20851.330078125,20774.759765625,20808.7109375,256540000
2017-02-28,20812.240234375,20841.240234375,20781.2109375,20833.880859375,339210000
2017-03-01,21115.55078125,21169.109375,20957.2890625,20957.2890625,392820000
